date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:10	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2010:54:17%20GMT	http://lab.thesoftking.com/robots.txt		(from )
16:24:11	30957/30957	---M--	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2010:54:17%20GMT	http://lab.thesoftking.com/lending/	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/index.html	(from )
16:24:12	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/raja.G/Desktop/eeee/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://lab.thesoftking.com/lending/)
16:24:14	3004/3004	---M--	200	added ('OK')	application/javascript	etag:%22382647-bbc-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/js/jquery.countdown.js	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/js/jquery.countdown.js	(from http://lab.thesoftking.com/lending/)
16:24:16	6291/6291	---M--	200	added ('OK')	image/png	etag:%223e3ef7-1893-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/logo/icon.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/logo/icon.png	(from http://lab.thesoftking.com/lending/)
16:24:16	31000/31000	---M--	200	added ('OK')	text/css	etag:%22382636-7918-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/css/font-awesome.min.css	(from http://lab.thesoftking.com/lending/)
16:24:17	3011/3011	---M--	200	added ('OK')	text/css	etag:%2238263b-bc3-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/owlcarousel/assets/owl.carousel.min.css	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/owlcarousel/assets/owl.carousel.min.css	(from http://lab.thesoftking.com/lending/)
16:24:19	57095/57095	---M--	200	added ('OK')	text/css	etag:%22382632-df07-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/css/animate.css	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/css/animate.css	(from http://lab.thesoftking.com/lending/)
16:24:19	121260/121260	---M--	200	added ('OK')	text/css	etag:%22382631-1d9ac-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/css/bootstrap.min.css	(from http://lab.thesoftking.com/lending/)
16:24:21	97163/97163	---M--	200	added ('OK')	application/javascript	etag:%22382641-17b8b-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/js/jquery-1.12.4.min.js	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/js/jquery-1.12.4.min.js	(from http://lab.thesoftking.com/lending/)
16:24:22	83997/83997	---M--	200	added ('OK')	text/css	etag:%22382637-1481d-5633f30100900%22	http://lab.thesoftking.com/lending/assets/front/css/style.css	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/css/style.css	(from http://lab.thesoftking.com/lending/)
16:24:26	4783/4783	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2010:54:31%20GMT	http://lab.thesoftking.com/lending/login	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/login.html	(from http://lab.thesoftking.com/lending/)
16:24:26	80266/80266	---MC-	200	added ('OK')	text/css	date:Sat,%2009%20Jun%202018%2010:54:29%20GMT	http://lab.thesoftking.com/lending/assets/front/css/color.php?color=f7931a	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/front/css/colord347.css	(from http://lab.thesoftking.com/lending/)
16:24:26	6352/6352	---MC-	200	added ('OK')	text/html	date:Sat,%2009%20Jun%202018%2010:54:32%20GMT	http://lab.thesoftking.com/lending/register	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/register.html	(from http://lab.thesoftking.com/lending/)
16:24:31	39002/39002	---M--	200	added ('OK')	image/png	etag:%223e3ef6-985a-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/logo/logo.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/logo/logo.png	(from http://lab.thesoftking.com/lending/)
16:24:57	187871/187871	---M--	200	added ('OK')	image/jpeg	etag:%223e3ee5-2dddf-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/slider/5a414f3df0e46.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/slider/5a414f3df0e46.jpg	(from http://lab.thesoftking.com/lending/)
16:24:59	198220/198220	---M--	200	added ('OK')	image/jpeg	etag:%223e3eea-3064c-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/interface/about.jpg	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/interface/about.jpg	(from http://lab.thesoftking.com/lending/)
16:25:07	36222/36222	---M--	200	added ('OK')	image/png	etag:%223e3efc-8d7e-5633f302e8d80%22	http://lab.thesoftking.com/lending/assets/images/testimonial/5a365f57293e1.png	C:/Users/raja.G/Desktop/eeee/lab.thesoftking.com/lending/assets/images/testimonial/5a365f57293e1.png	(from http://lab.thesoftking.com/lending/)
